Variant,Features added,Macro F1,F1 std,Medium Recall,Med Rec std,High Recall,Δ Macro F1
Baseline (no temporal),0,0.6028986094863498,0.04372028814860336,0.4757352941176471,0.07794117647058824,0.7384615384615384,0.0
+ rms_slope,1,0.6136898023667697,0.05115179852221985,0.46397058823529413,0.06586528140164322,0.7538461538461538,0.010791192880419964
+ pitch_slope,1,0.5817828908305098,0.05443068071185711,0.4279411764705882,0.06176470588235293,0.7307692307692306,-0.021115718655839943
+ speaking_rate_change,1,0.6233482527868492,0.03926918995777907,0.46397058823529413,0.034831527300961805,0.776923076923077,0.020449643300499476
+ rms_gradient,1,0.6206049873368714,0.029691412981227384,0.4764705882352941,0.052335175439041905,0.7846153846153846,0.01770637785052165
+ energy_change,1,0.6049109283094791,0.04391184857168291,0.46397058823529413,0.06586528140164322,0.7538461538461538,0.0020123188231293554
+ pitch only (pitch_slope),1,0.5817828908305098,0.05443068071185711,0.4279411764705882,0.06176470588235293,0.7307692307692306,-0.021115718655839943
+ energy only (rms_slope+grad+ec),3,0.6077341070820179,0.05058334005447494,0.4514705882352941,0.07258213340737098,0.7846153846153845,0.004835497595668148
+ all 5 temporal,5,0.6107286037809087,0.05099377485386886,0.4522058823529411,0.054728806076259975,0.7615384615384615,0.007829994294558884
